     1	NUM	1	100958	10	100967	100
     2	GeneID	1	ENSG00000121410	1000	ENSG00000170558	100033448
     3	Symbol	A1BG	A1BG	CDH2	CDH2	SNORD115-11
     4	Description	alpha-1-B_glycoprotein	alpha-1-B_glycoprotein	cadherin_2	cadherin_2	small_nucleolar_RNA,_C/D_box_115-11
     5	MIM	138670	138670	114020	114020	
     6	OMIM_Phenotypes					
     7	Orpha_disorder					
     8	Orpha_number					
     9	Orpha_association					
    10	Orpha_assocstatus					
    11	ENSG	ENSG00000121410	ENSG00000121410	ENSG00000170558	ENSG00000170558	ENSG00000200486
    12	ENTREZ	1	1	1000	1000	100033448
    13	NM	NM_130786.4	NM_130786.4	NM_001792.5	NM_001792.5	NR_003303.1
    14	ENST	ENST00000263100	ENST00000263100	ENST00000269141	ENST00000269141	ENST00000363616
