17,20-lyase_deficiency,_isolated,_202110_(3)	CYP17A1,_CYP17,_P450C17	609300	10q24.32
17-alpha-hydroxylase/17,20-lyase_deficiency,_202110_(3)	CYP17A1,_CYP17,_P450C17	609300	10q24.32
2-aminoadipic_2-oxoadipic_aciduria,_204750_(3)	DHTKD1,_KIAA1630,_AMOXAD,_CMT2Q	614984	10p14
2-methylbutyrylglycinuria,_610006_(3)	ACADSB,_SBCAD	600301	10q26.13
3-M_syndrome_1,_273750_(3)	CUL7,_3M1	609577	6p21.1
3-M_syndrome_2,_612921_(3)	OBSL1,_KIAA0657,_3M2	610991	2q35
3-M_syndrome_3,_614205_(3)	CCDC8,_3M3	614145	19q13.32
3-Methylcrotonyl-CoA_carboxylase_1_deficiency,_210200_(3)	MCCC1,_MCCA	609010	3q27.1
3-Methylcrotonyl-CoA_carboxylase_2_deficiency,_210210_(3)	MCCC2,_MCCB	609014	5q13.2
3-hydroxyacyl-CoA_dehydrogenase_deficiency,_231530_(3)	HADHSC,_SCHAD,_HHF4	601609	4q25
3-hydroxyisobutryl-CoA_hydrolase_deficiency,_250620_(3)	HIBCH	610690	2q32.2
3-methylglutaconic_aciduria_with_deafness,_encephalopathy,_and_Leigh-like_syndrome,_614739_(3)	SERAC1,_MEGDEL	614725	6q25.3
3-methylglutaconic_aciduria,_type_I,_250950_(3)	AUH	600529	9q22.31
3-methylglutaconic_aciduria,_type_III,_258501_(3)	OPA3,_MGA3	606580	19q13.32
3-methylglutaconic_aciduria,_type_IX,_617698_(3)	TIMM50,_TIM50,_MGCA9	607381	19q13.2
3-methylglutaconic_aciduria,_type_V,_610198_(3)	DNAJC19,_TIM14	608977	3q26.33
3-methylglutaconic_aciduria,_type_VII,_with_cataracts,_neurologic_involvement_and_neutropenia,_616271_(3)	CLPB,_SKD3,_MEGCANN,_MGCA7	616254	11q13.4
3-methylglutaconic_aciduria,_type_VIII,_617248_(3)	HTRA2,_OMI,_PARK13,_PRSS25,_MGCA8	606441	2p13.1
3MC_syndrome_1,_257920_(3)	MASP1,_CRARF,_3MC1	600521	3q27.3
3MC_syndrome_2,_265050_(3)	COLEC11,_CLK1,_3MC2	612502	2p25.3
3MC_syndrome_3,_248340_(3)	COLEC10,_CLL1,_3MC3	607620	8q24.12
3p-_syndrome_(4)	DEL3pterp25,_C3DELpterp25	613792	3pter-p25
46,_XX_sex_reversal_4,_617480_(3)	NR5A1,_FTZF1,_FTZ1,_SF1,_AD4BP,_POF7,_SRXY3,_SPGF8,_SRXX4	184757	9q33.3
46XX_sex_reversal_1,_400045_(3)	SRY,_TDF,_TDY,_SRXX1,_SRXY1	480000	Yp11.2
46XX_sex_reversal_2_(4)	SRXX2,_DUP17q24.3	278850	17q24.3-q25.1
46XX_sex_reversal_3_(4)	SRXX3	300833	Xq26.3
46XY_partial_gonadal_dysgenesis,_with_minifascicular_neuropathy,_607080_(3)	DHH,_SRXY7,_GDXYM	605423	12q13.12
46XY_sex_reversal_1,_400044_(3)	SRY,_TDF,_TDY,_SRXX1,_SRXY1	480000	Yp11.2
46XY_sex_reversal_10_(4)	SRXY10	616425	17q24
46XY_sex_reversal_2,_dosage-sensitive,_300018_(3)	NR0B1,_DAX1,_AHC,_AHX,_SRXY2	300473	Xp21.2
46XY_sex_reversal_3,_612965_(3)	NR5A1,_FTZF1,_FTZ1,_SF1,_AD4BP,_POF7,_SRXY3,_SPGF8,_SRXX4	184757	9q33.3
46XY_sex_reversal_4_(4)	DEL9p24.3,_C9DELp24.3,_SRXY4	154230	9p24.3
46XY_sex_reversal_6,_613762_(3)	MAP3K1,_MEKK1,_MEKK,_SRXY6	600982	5q11.2
46XY_sex_reversal_7,_233420_(3)	DHH,_SRXY7,_GDXYM	605423	12q13.12
46XY_sex_reversal_8,_614279_(3)	AKR1C2,_DDH2,_DD2,_HAKRD,_SRXY8	600450	10p15.1
46XY_sex_reversal_9,_616067_(3)	ZFPM2,_FOG2,_DIH3,_SRXY9	603693	8q23.1
5-fluorouracil_toxicity,_274270_(3)	DPYD,_DPD	612779	1p21.3
5-oxoprolinase_deficiency,_260005_(3)	OPLAH,_OPLAHD	614243	8q24.3
?2,4-dienoyl-CoA_reductase_deficiency,_616034_(3)	NADK2,_C5orf33,_DECRD	615787	5p13.2
?46XY_sex_reversal_5,_613080_(3)	CBX2,_M33,_SRXY5	602770	17q25.3
?ACAT2_deficiency,_614055_(1)	ACAT2	100678	6q25.3
?Abruzzo-Erickson_syndrome,_302905_(3)	TBX22,_CPX,_ABERS	300307	Xq21.1
?Acromesomelic_dysplasia,_Hunter-Thompson_type,_201250_(3)	GDF5,_CDMP1,_SYNS2,_OS5,_BDA1C,_SYM1B	601146	20q11.22
?Advanced_sleep_phase_syndrome,_familial,_3,_616882_(3)	PER3,_FASPS3	603427	1p36.23
?Agammaglobulinemia_5,_613506_(3)	LRRC8A,_KIAA1437,_AGM5	608360	9q34.11
?Agammaglobulinemia_7,_autosomal_recessive,_615214_(3)	PIK3R1,_GRB1,_AGM7,_SHORT,_IMD36	171833	5q13.1
