merged_symbol	merged_geneid	replaced_geneid	replaced_discontinued_geneid	replaced_discontinued_symbol	replaced_date	GeneID	Discontinued_GeneID	Discontinued_Symbol	Discontinue_Date
5-HT3C2	389180	389180	100422427	LOC100422427	20100813				
A3GALT2	127550	127550	553108	A3GALT2	20050726				
A4GALT	53947	53947	5022	P1	20050510				
AAAS	8086	8086	26163	DKFZP586G1624	20050510				
AACP	11	11	100422205	LOC100422205	20100925				
AACSP1	729522	729522	391856	LOC391856	20050510				
AACSP1	729522	729522	401224	AACSL	20080724				
AADACL3	126767	126767	649285	LOC649285	20060312				
AADAT	51166	51166	11150	KATII	20050510				
AADAT	51166	51166	140891	AADAT	20050506				
AAED1	195827	195827	169858	LOC169858	20050510				
AAED1	195827	195827	203335	LOC203335	20050510				
AAK1	22848	22848	388957	DKFZp686K16132	20070502				
AAK1	22848	22848	647217	LOC647217	20070502				
AAK1	22848	22848	652453	LOC652453	20060323				
AAMDC	28971	28971	79737	FLJ21035	20050510				
AAR2	25980	25980	51609	LOC51609	20050510				
AARS2	57505	57505	221410	LOC221410	20050510				
AASDH	132949	132949	132948	LOC132948	20050510				
AASDHPPT	60496	60496	25882	DKFZP566E2346	20050510				
AATK	9625	9625	100292717	LOC100292717	20101208				
AATK	9625	9625	100508499	LOC100508499	20101208				
AATK	9625	9625	100508519	LOC100508519	20101208				
AATK	9625	9625	100510111	LOC100510111	20101208				
AATK	9625	9625	100510119	LOC100510119	20101208				
AATK	9625	9625	100510121	LOC100510121	20101208				
AATK	9625	9625	100510174	LOC100510174	20101208				
ABAT	18	18	57416	NPD009	20050510				
ABAT	18	18	727757	LOC727757	20100622				
ABAT	18	18	731754	LOC731754	20070619				
ABCA1	19	19	8298	TGD	20050502				
ABCA1	19	19	8371	HDLDT1	20050510				
ABCA10	10349	10349	55400	PRO2543	20050510				
ABCA11P	79963	79963	10348	ABCA11	20050510				
ABCA12	26154	26154	3389	ICR2B	20060607				
ABCA12	26154	26154	3392	ICR5	20060607				
ABCA13	154664	154664	206568	AF501281	20050510				
ABCA17P	650655	650655	440331	LOC440331	20080314				
ABCA17P	650655	650655	767559	ABCA17P	20080314				
ABCA2	20	20	23153	KIAA1062	20050510				
ABCA4	24	24	6113	RP19	20050510				
ABCA4	24	24	7815	STGD1	20050506				
ABCA5	23461	23461	116047	LOC116047	20050510				
ABCA5	23461	23461	55514	HSA275973	20050510				
ABCA6	23460	23460	124824	LOC124824	20050510				
ABCA7	10347	10347	113546	LOC113546	20050510				
ABCA7	10347	10347	82843	LOC82843	20050510				
ABCB1	5243	5243	1189	CLCS	20050509				
ABCB10P1	56476	56476	100422359	LOC100422359	20110308				
ABCB11	8647	8647	5206	PFIC2	20050502				
ABCB5	340273	340273	23458	ABCB5	20050510				
ABCB7	22	22	8252	ASAT	20050217				
ABCC1	4363	4363	8133	MRP1	20050502				
ABCC10	89845	89845	23455	ABCC10	20050510				
ABCC11	85320	85320	266788	EWWD	20060517				
ABCC11	85320	85320	84670	MRP8	20050509				
ABCC6	368	368	100292715	LOC100292715	20100812				
ABCC6	368	368	5823	PXE	20060512				
ABCC6P2	730013	730013	100034250	ABCC6P2	20080613				
ABCC6P2	730013	730013	653770	LOC653770	20060906				
ABCC8	6833	6833	120759	LOC120759	20050510				
ABCC9	10060	10060	102724274	LOC102724274	20150315				
ABCD1P2	26983	26983	100421871	LOC100421871	20110205				
ABCD1P4	26957	26957	100421923	LOC100421923	20110205				
ABCD1P5	642762	642762	100421789	LOC100421789	20100813				
ABCD4	5826	5826	122963	LOC122963	20050510				
ABCE1	6059	6059	133164	LOC133164	20050510				
ABCE1	6059	6059	152967	LOC152967	20050510				
ABCF2	10061	10061	11195	ABCF2	20050505				
ABCF2P1	344653	344653	648016	LOC648016	20060323				
ABCF3	55324	55324	23454	ABCF3	20050510				
ABCG2	9429	9429	619542	GOUT1	20120409				
ABCG5	64240	64240	50954	STSL	20060515				
ABCG8	64241	64241	115232	LOC115232	20050510				
ABHD11	83451	83451	114048	WBSCR21	20050510				
ABHD12	26090	26090	100272226	PHARC	20110602				
ABHD12	26090	26090	170493	C20orf22	20050510				
ABHD17AP1	728917	728917	100289252	ABHD17AP2	20140405				
ABHD17AP1	728917	728917	653401	FAM108A3P	20110224				
ABHD17AP1	728917	728917	653438	LOC653438	20060906				
ABHD17AP1	728917	728917	91632	FAM108A2	20060306				
ABHD17AP4	729495	729495	150207	LOC150207	20080304				
ABHD17AP5	91219	91219	100190884	FAM108A6	20100614				
ABHD17AP5	91219	91219	100421686	LOC100421686	20101007				
ABHD17AP5	91219	91219	129015	LOC129015	20050510				
ABHD17AP6	644988	644988	650018	LOC650018	20070619				
ABHD2	11057	11057	653254	LOC653254	20060418				
ABHD2	11057	11057	654057	LOC654057	20060312				
ABHD3	171586	171586	125457	LOC125457	20050510				
ABHD3	171586	171586	90492	LOC90492	20050510				
ABHD5	51099	51099	50991	IECN2	20050510				
ABHD6	57406	57406	96026	LOC96026	20050510				
ABI1P1	326268	326268	100419055	LOC100419055	20100820				
ABI3BP	25890	25890	79859	FLJ21551	20050510				
ABL1	25	25	112779	LOC112779	20050510				
ABL1	25	25	116063	LOC116063	20050510				
ABLIM2	84448	84448	100128350	LOC100128350	20081114				
ABR	29	29	105371478	LOC105371478	20160414				
ABR	29	29	8143	MDB	20050518				
ABR	29	29	82701	LOC82701	20050510				
ABRA	137735	137735	107986900	LOC107986900	20180329				
ABRACL	58527	58527	353263	C6orf115	20050510				
ACAA1	30	30	152432	LOC152432	20050510				
ACAA2	10449	10449	113150	LOC113150	20050510				
ACAA2	10449	10449	125662	LOC125662	20050510				
ACAA2	10449	10449	147548	LOC147548	20050510				
ACACA	31	31	102723486	LOC102723486	20140508				
ACACB	32	32	283445	LOC283445	20050510				
ACAD10	80724	80724	359814	ACAD10	20050510				
ACAD9	28976	28976	96656	LOC96656	20050510				
ACADM	34	34	51779	LOC51779	20050510				
ACADSB	36	36	653734	LOC653734	20060314				
ACADSB	36	36	654185	LOC654185	20060312				
ACAN	176	176	404712	SEDK	20051018				
ACAP3	116983	116983	80855	KIAA1716	20050510				
ACAT1	38	38	107984383	LOC107984383	20180329				
ACD	65057	65057	82538	LOC82538	20050510				
ACE	1636	1636	653684	LOC653684	20060315				
ACE	1636	1636	654142	LOC654142	20060315				
ACE2	59272	59272	26125	DKFZP434A014	20050510				
ACER1	125981	125981	378767	ASAH3	20050509				
ACHE	43	43	100187742	ACEE	20110915				
ACKR2	1238	1238	95073	LOC95073	20050510				
ACN9	57001	57001	360012	ACN9	20050509				
ACO1	48	48	3657	IREB1	20050510				
ACO2	50	50	105369160	LOC105369160	20160609				
ACO2	50	50	115645	LOC115645	20050510				
ACOT1	641371	641371	122971	LOC122971	20050508				
ACOT1	641371	641371	145480	LOC145480	20050510				
ACOT1	641371	641371	253386	LOC253386	20050217				
ACOT11	26027	26027	112508	LOC112508	20050510				
ACOT11	26027	26027	257459	LOC257459	20050510				
ACOT11	26027	26027	91515	LOC91515	20050510				
ACOT6	641372	641372	161380	C14orf42	20061215				
ACOX1	51	51	8308	ACOX1	20050510				
ACOX2	8309	8309	7876	BRCACOX	20050503				
ACP2	53	53	114969	LOC114969	20050510				
ACP2	53	53	96117	LOC96117	20050510				
ACP6	51205	51205	116107	LOC116107	20050510				
ACP6	51205	51205	95651	LOC95651	20050510				
ACRC	93953	93953	116325	NAAR1	20050510				
ACSL1	2180	2180	2179	FACL1	20050510				
ACSL1	2180	2180	91249	LOC91249	20050510				
ACSL3	2181	2181	55484	PRO2194	20050510				
ACSL4	2182	2182	23698	MRX68	20060908				
ACSL4	2182	2182	4426	MRX63	20060714				
ACSL6	23305	23305	56972	DKFZp547D104	20131206				
ACSS1	84532	84532	57032	LOC57032	20050508				
ACSS1	84532	84532	89850	LOC89850	20050510				
ACTA1	58	58	115745	LOC115745	20050510				
ACTA1	58	58	4349	MPFD	20060315				
ACTB	60	60	115571	LOC115571	20050510				
ACTBL2	345651	345651	548634	ACTBL2	20080322				
ACTBP1	643309	643309	61	ACTBP1	20110117				
ACTBP1	643309	643309	648160	LOC648160	20070619				
ACTBP11	644220	644220	100418934	LOC100418934	20100811				
ACTBP11	644220	644220	343354	LOC343354	20050510				
ACTBP11	644220	644220	649003	LOC649003	20070619				
ACTBP12	100462767	100462767	77	ACTBP12	20110111				
ACTBP13	389120	389120	152431	LOC152431	20050510				
ACTBP13	389120	389120	285405	LOC285405	20050507				
ACTBP2	62	62	100418840	LOC100418840	20100811				
ACTBP2	62	62	345768	LOC345768	20050510				
ACTBP4	64	64	100418839	LOC100418839	20100813				
ACTBP6	66	66	100418926	LOC100418926	20140409				
ACTBP7	67	67	100418952	LOC100418952	20110303				
ACTBP8	68	68	100418851	LOC100418851	20100811				
ACTBP9	69	69	100418890	LOC100418890	20110303				
ACTBP9	69	69	390861	LOC390861	20090620				
ACTC1	70	70	113017	LOC113017	20050510				
ACTG1	71	71	10649	DFNA26	20050509				
ACTG1	71	71	23726	DFNA20	20050510				
ACTG1P1	73	73	100418922	LOC100418922	20100811				
ACTG1P10	83	83	100418932	LOC100418932	20100811				
ACTG1P11	414754	414754	100418917	LOC100418917	20100811				
ACTG1P3	75	75	100418948	LOC100418948	20100811				
ACTG1P4	648740	648740	76	ACTG1P4	20120525				
ACTG1P9	82	82	100418925	LOC100418925	20100811				
ACTG1P9	82	82	168023	LOC168023	20050510				
ACTG2	72	72	115664	LOC115664	20050510				
ACTL6A	86	86	9178	BAF53A	20050510				
ACTL7A	10881	10881	138761	LOC138761	20050510				
ACTL9	284382	284382	163194	LOC163194	20050510				
ACTN4	81	81	10685	FSGS1	20060515				
ACTN4P1	344978	344978	651154	LOC651154	20070619				
ACTN4P2	391026	391026	651783	LOC651783	20060323				
ACTR1B	10120	10120	130640	LOC130640	20050510				
ACTR1B	10120	10120	8423	CTRN2	20050508				
ACTR3BP1	643050	643050	100421626	LOC100421626	20100811				
ACTR3BP2	440888	440888	100421615	LOC100421615	20110329				
ACTR3BP2	440888	440888	339747	LOC339747	20050510				
ACTR3BP3	647156	647156	100421676	LOC100421676	20100813				
ACTR3BP3	647156	647156	283958	LOC283958	20050510				
ACTR3BP3	647156	647156	283967	LOC283967	20050510				
ACTR3BP3	647156	647156	92861	LOC92861	20050510				
ACTR3BP4	777774	777774	100421631	LOC100421631	20100813				
ACTR3BP5	399746	399746	100421668	LOC100421668	20100813				
ACTR3BP6	644773	644773	100421688	LOC100421688	20100818				
ACTR3BP6	644773	644773	284850	LOC284850	20050510				
ACTR3BP6	644773	644773	90608	LOC90608	20050510				
ACTR3C	653857	653857	102723581	LOC102723581	20150315				
ACTR3C	653857	653857	113765	LOC113765	20050510				
ACTR3C	653857	653857	136358	LOC136358	20050510				
ACTR3C	653857	653857	155033	LOC155033	20050509				
ACTR3C	653857	653857	202870	LOC202870	20050510				
ACTR3C	653857	653857	392838	LOC392838	20050510				
ACTR3C	653857	653857	653722	LOC653722	20060418				
ACTR3C	653857	653857	90513	LOC90513	20050510				
ACTR3P1	100288580	100288580	100133645	LOC100133645	20100430				
ACTR3P1	100288580	100288580	446208	ACTR3P1	20100218				
ACTR5	79913	79913	93972	ACTR5	20050507				
ACTR8	93973	93973	64920	FLJ12934	20050510				
ACVR1	90	90	50946	FOP	20110129				
ACVR1B	91	91	93351	LOC93351	20050507				
ACVRL1	94	94	5006	ORW2	20050510				
ACYP1	97	97	387998	LOC387998	20050507				
ACYP2	98	98	105374611	LOC105374611	20160609				
ACYP2	98	98	115706	LOC115706	20050510				
ADAM12	8038	8038	100967225	CAR10	20140109				
ADAM17	6868	6868	129645	LOC129645	20050510				
ADAM1A	8759	8759	100420504	LOC100420504	20110330				
ADAM20P1	317760	317760	100420560	LOC100420560	20110308				
ADAM22	53616	53616	53592	MDC2	20050510				
ADAM24P	646479	646479	11089	ADAM24	20060310				
ADAM28	10863	10863	27337	EMDCII	20050510				
ADAM33	80332	80332	170489	C20orf153	20081217				
ADAM33	80332	80332	80382	DJ964F7.1	20050510				
ADAM5	255926	255926	651362	LOC651362	20060531				
ADAM5	255926	255926	8757	ADAM5	20050510				
ADAM9	8754	8754	60424	CORD9	20110320				
ADAMTS10	81794	81794	148230	LOC148230	20090321				
ADAMTS10	81794	81794	246231	WMS	20050510				
ADAMTS13	11093	11093	11032	VWFCP	20050507				
ADAMTS13	11093	11093	138059	LOC138059	20050510				
ADAMTS13	11093	11093	84212	DKFZp434C2322	20050510				
ADAMTS15	170689	170689	219807	LOC219807	20050510				
ADAMTS16	170690	170690	167371	LOC167371	20050510				
ADAMTS18	170692	170692	118431	ADAMTS21	20050510				
ADAMTS2	9509	9509	27310	PCPNI	20050510				
ADAMTS3	9508	9508	23501	KIAA0366	20050510				
ADAMTS5	11096	11096	107987291	LOC107987291	20180329				
ADAMTS6	11174	11174	153516	LOC153516	20050503				
ADAMTS6	11174	11174	345667	LOC345667	20050510				
ADAMTS7	11173	11173	25964	DKFZP434H204	20050510				
ADAMTS7	11173	11173	374629	LOC374629	20050510				
