merged_symbol	merged_geneid	mimnumber	gsymbols	gname	gphenotypes
A1BG	1	138670	A1BG	Glycoprotein,_alpha-1B	
A1BG	ENSG00000121410	138670	A1BG	Glycoprotein,_alpha-1B	
A1CF	29974	618199	A1CF,_ASP	APOBEC1_complementation_factor	
A1CF	ENSG00000148584	618199	A1CF,_ASP	APOBEC1_complementation_factor	
A2M	2	103950	A2M_,_A2MD	Alpha-2-macroglobulin	Alpha-2-macroglobulin_deficiency,_614036_(1),_Autosomal_dominant,_{Alzheimer_disease,_susceptibility_to},_104300_(3),_Autosomal_dominant
A2M	ENSG00000175899	103950	A2M_,_A2MD	Alpha-2-macroglobulin	Alpha-2-macroglobulin_deficiency,_614036_(1),_Autosomal_dominant,_{Alzheimer_disease,_susceptibility_to},_104300_(3),_Autosomal_dominant
A2ML1	144568	610627	A2ML1,_OMS	Alpha-2-macroglobulin-like_1	{Otitis_media,_susceptibility_to},_166760_(3),_Autosomal_dominant
A2ML1	ENSG00000166535	610627	A2ML1,_OMS	Alpha-2-macroglobulin-like_1	{Otitis_media,_susceptibility_to},_166760_(3),_Autosomal_dominant
A4GALT	53947	607922	A4GALT,_P1PK	Alpha_1,4-galactosyltransferase	[Blood_group,_P1Pk_system,_P(2)_phenotype],_111400_(3),_[Blood_group,_P1Pk_system,_p_phenotype],_111400_(3),_NOR_polyagglutination_syndrome,_111400_(3)
A4GALT	ENSG00000128274	607922	A4GALT,_P1PK	Alpha_1,4-galactosyltransferase	[Blood_group,_P1Pk_system,_P(2)_phenotype],_111400_(3),_[Blood_group,_P1Pk_system,_p_phenotype],_111400_(3),_NOR_polyagglutination_syndrome,_111400_(3)
A4GNT	51146	616709	A4GNT	Alpha-1,4-N-acetylglucosaminyltransferase	
A4GNT	ENSG00000118017	616709	A4GNT	Alpha-1,4-N-acetylglucosaminyltransferase	
AAAS	8086	605378	AAAS,_AAA	Aladin	Achalasia-addisonianism-alacrimia_syndrome,_231550_(3),_Autosomal_recessive
AAAS	ENSG00000094914	605378	AAAS,_AAA	Aladin	Achalasia-addisonianism-alacrimia_syndrome,_231550_(3),_Autosomal_recessive
AACS	65985	614364	AACS,_ACSF1	Acetoacetyl-CoA_synthetase	
AACS	ENSG00000081760	614364	AACS,_ACSF1	Acetoacetyl-CoA_synthetase	
AADAC	13	600338	AADAC,_DAC	Arylacetamide_deacetylase_(esterase)	
AADAC	ENSG00000114771	600338	AADAC,_DAC	Arylacetamide_deacetylase_(esterase)	
AADAT	51166	611754	AADAT,_KAT2	Alpha-aminoadipate_aminotransferase	
