symbol	geneid	disorders
A2ML1	144568	[648:Noonan_syndrome]
A2ML1	ENSG00000166535	[648:Noonan_syndrome]
AAAS	8086	[869:Triple_A_syndrome]
AAAS	ENSG00000094914	[869:Triple_A_syndrome]
AAGAB	79719	[79501:Punctate_palmoplantar_keratoderma_type_1]
AAGAB	ENSG00000103591	[79501:Punctate_palmoplantar_keratoderma_type_1]
AARS	16	[228174:Autosomal_dominant_Charcot-Marie-Tooth_disease_type_2N],[442835:Undetermined_early-onset_epileptic_encephalopathy]
AARS	ENSG00000090861	[228174:Autosomal_dominant_Charcot-Marie-Tooth_disease_type_2N],[442835:Undetermined_early-onset_epileptic_encephalopathy]
AARS2	57505	[319504:Combined_oxidative_phosphorylation_defect_type_8],[313808:Hereditary_diffuse_leukoencephalopathy_with_axonal_spheroids_and_pigmented_glia],[99853:Ovarioleukodystrophy]
AARS2	ENSG00000124608	[319504:Combined_oxidative_phosphorylation_defect_type_8],[313808:Hereditary_diffuse_leukoencephalopathy_with_axonal_spheroids_and_pigmented_glia],[99853:Ovarioleukodystrophy]
AASS	10157	[2203:Hyperlysinemia],[3124:Saccharopinuria]
AASS	ENSG00000008311	[2203:Hyperlysinemia],[3124:Saccharopinuria]
ABAT	18	[2066:Gamma-aminobutyric_acid_transaminase_deficiency]
ABAT	ENSG00000183044	[2066:Gamma-aminobutyric_acid_transaminase_deficiency]
ABCA1	19	[425:Apolipoprotein_A-I_deficiency],[31150:Tangier_disease]
ABCA1	ENSG00000165029	[425:Apolipoprotein_A-I_deficiency],[31150:Tangier_disease]
ABCA12	26154	[79394:Congenital_non-bullous_ichthyosiform_erythroderma],[457:Harlequin_ichthyosis],[313:Lamellar_ichthyosis]
ABCA12	ENSG00000144452	[79394:Congenital_non-bullous_ichthyosiform_erythroderma],[457:Harlequin_ichthyosis],[313:Lamellar_ichthyosis]
ABCA3	21	[2032:Idiopathic_pulmonary_fibrosis],[70587:Infant_acute_respiratory_distress_syndrome],[440402:Interstitial_lung_disease_due_to_ABCA3_deficiency]
ABCA3	ENSG00000167972	[2032:Idiopathic_pulmonary_fibrosis],[70587:Infant_acute_respiratory_distress_syndrome],[440402:Interstitial_lung_disease_due_to_ABCA3_deficiency]
ABCA4	24	[1872:Cone_rod_dystrophy],[791:Retinitis_pigmentosa],[827:Stargardt_disease]
ABCA4	ENSG00000198691	[1872:Cone_rod_dystrophy],[791:Retinitis_pigmentosa],[827:Stargardt_disease]
ABCA5	23461	[2026:Gingival_fibromatosis-hypertrichosis_syndrome]
ABCA5	ENSG00000154265	[2026:Gingival_fibromatosis-hypertrichosis_syndrome]
ABCA7	10347	[1020:Early-onset_autosomal_dominant_Alzheimer_disease]
ABCA7	ENSG00000064687	[1020:Early-onset_autosomal_dominant_Alzheimer_disease]
ABCB1	5243	[529825:Resistance_to_colchicine]
ABCB1	ENSG00000085563	[529825:Resistance_to_colchicine]
ABCB11	8647	[99961:Benign_recurrent_intrahepatic_cholestasis_type_2],[69665:Intrahepatic_cholestasis_of_pregnancy],[79304:Progressive_familial_intrahepatic_cholestasis_type_2]
ABCB11	ENSG00000073734	[99961:Benign_recurrent_intrahepatic_cholestasis_type_2],[69665:Intrahepatic_cholestasis_of_pregnancy],[79304:Progressive_familial_intrahepatic_cholestasis_type_2]
ABCB4	5244	[69665:Intrahepatic_cholestasis_of_pregnancy],[69663:Low_phospholipid-associated_cholelithiasis],[79305:Progressive_familial_intrahepatic_cholestasis_type_3]
ABCB4	ENSG00000005471	[69665:Intrahepatic_cholestasis_of_pregnancy],[69663:Low_phospholipid-associated_cholelithiasis],[79305:Progressive_familial_intrahepatic_cholestasis_type_3]
ABCB6	10058	[98942:Coloboma_of_choroid_and_retina],[98943:Coloboma_of_eye_lens],[98946:Coloboma_of_eyelid],[98944:Coloboma_of_iris],[98945:Coloboma_of_macula],[98947:Coloboma_of_optic_disc],[98938:Colobomatous_microphthalmia],[241:Dyschromatosis_universalis_hereditaria],[90044:Familial_pseudohyperkalemia]
ABCB6	ENSG00000115657	[98942:Coloboma_of_choroid_and_retina],[98943:Coloboma_of_eye_lens],[98946:Coloboma_of_eyelid],[98944:Coloboma_of_iris],[98945:Coloboma_of_macula],[98947:Coloboma_of_optic_disc],[98938:Colobomatous_microphthalmia],[241:Dyschromatosis_universalis_hereditaria],[90044:Familial_pseudohyperkalemia]
ABCB7	22	[2802:X-linked_sideroblastic_anemia_and_spinocerebellar_ataxia]
ABCB7	ENSG00000131269	[2802:X-linked_sideroblastic_anemia_and_spinocerebellar_ataxia]
ABCC2	1244	[234:Dubin-Johnson_syndrome]
ABCC2	ENSG00000023839	[234:Dubin-Johnson_syndrome]
ABCC6	368	[51608:Generalized_arterial_calcification_of_infancy],[758:Pseudoxanthoma_elasticum]
ABCC6	ENSG00000091262	[51608:Generalized_arterial_calcification_of_infancy],[758:Pseudoxanthoma_elasticum]
ABCC8	6833	[276575:Autosomal_dominant_hyperinsulinism_due_to_SUR1_deficiency],[79643:Autosomal_recessive_hyperinsulinism_due_to_SUR1_deficiency],[79134:DEND_syndrome],[276598:Diazoxide-resistant_focal_hyperinsulinism_due_to_SUR1_deficiency],[552:MODY],[99885:Permanent_neonatal_diabetes_mellitus],[99886:Transient_neonatal_diabetes_mellitus]
ABCC8	ENSG00000006071	[276575:Autosomal_dominant_hyperinsulinism_due_to_SUR1_deficiency],[79643:Autosomal_recessive_hyperinsulinism_due_to_SUR1_deficiency],[79134:DEND_syndrome],[276598:Diazoxide-resistant_focal_hyperinsulinism_due_to_SUR1_deficiency],[552:MODY],[99885:Permanent_neonatal_diabetes_mellitus],[99886:Transient_neonatal_diabetes_mellitus]
ABCC9	10060	[965:Acromegaloid_facial_appearance_syndrome],[130:Brugada_syndrome],[334:Familial_atrial_fibrillation],[154:Familial_isolated_dilated_cardiomyopathy],[966:Hypertrichosis-acromegaloid_facial_appearance_syndrome],[1517:Hypertrichotic_osteochondrodysplasia,_Cantu_type]
ABCC9	ENSG00000069431	[965:Acromegaloid_facial_appearance_syndrome],[130:Brugada_syndrome],[334:Familial_atrial_fibrillation],[154:Familial_isolated_dilated_cardiomyopathy],[966:Hypertrichosis-acromegaloid_facial_appearance_syndrome],[1517:Hypertrichotic_osteochondrodysplasia,_Cantu_type]
ABCD1	215	[139399:Adrenomyeloneuropathy],[369942:CADDS],[139396:X-linked_cerebral_adrenoleukodystrophy]
