symbol	geneid	oe_lof	oe_mis	pLI	pRec	pNull
A1BG	1	7.8457e-01	1.0141e+00	4.9917e-09	3.8693e-01	6.1307e-01
A1BG	ENSG00000121410	7.8457e-01	1.0141e+00	4.9917e-09	3.8693e-01	6.1307e-01
A1CF	29974	6.0537e-01	8.4521e-01	5.9218e-10	9.5946e-01	4.0544e-02
A1CF	ENSG00000148584	6.0537e-01	8.4521e-01	5.9218e-10	9.5946e-01	4.0544e-02
A2M	2	4.0526e-01	8.1065e-01	4.5229e-11	1.0000e+00	8.4854e-09
A2M	ENSG00000175899	4.0526e-01	8.1065e-01	4.5229e-11	1.0000e+00	8.4854e-09
A2ML1	144568	7.7171e-01	9.6729e-01	1.6109e-34	2.0848e-02	9.7915e-01
A2ML1	ENSG00000166535	7.7171e-01	9.6729e-01	1.6109e-34	2.0848e-02	9.7915e-01
A3GALT2	127550	1.1727e+00	9.9002e-01	1.2823e-10	2.8024e-02	9.7198e-01
A3GALT2	ENSG00000184389	1.1727e+00	9.9002e-01	1.2823e-10	2.8024e-02	9.7198e-01
A4GALT	53947	9.4609e-01	1.0345e+00	7.6668e-06	3.1088e-01	6.8911e-01
A4GALT	ENSG00000128274	9.4609e-01	1.0345e+00	7.6668e-06	3.1088e-01	6.8911e-01
A4GNT	51146	2.8592e-01	9.5177e-01	1.6537e-01	8.2165e-01	1.2982e-02
A4GNT	ENSG00000118017	2.8592e-01	9.5177e-01	1.6537e-01	8.2165e-01	1.2982e-02
AAAS	8086	7.0734e-01	1.0591e+00	2.4356e-13	6.3466e-01	3.6534e-01
AAAS	ENSG00000094914	7.0734e-01	1.0591e+00	2.4356e-13	6.3466e-01	3.6534e-01
AACS	65985	7.9801e-01	9.7211e-01	9.1275e-17	1.1999e-01	8.8001e-01
AACS	ENSG00000081760	7.9801e-01	9.7211e-01	9.1275e-17	1.1999e-01	8.8001e-01
AADAC	13	4.7848e-01	9.2922e-01	2.9108e-03	9.4688e-01	5.0206e-02
AADAC	ENSG00000114771	4.7848e-01	9.2922e-01	2.9108e-03	9.4688e-01	5.0206e-02
AADACL2	344752	1.0384e+00	9.5978e-01	1.0604e-08	9.8764e-02	9.0124e-01
AADACL2	ENSG00000197953	1.0384e+00	9.5978e-01	1.0604e-08	9.8764e-02	9.0124e-01
AADACL3	126767	7.4091e-01	1.0688e+00	1.1889e-02	6.5755e-01	3.3056e-01
