Multiple_epiphyseal_dysplasia,_Al-Gazali_type	166024	Disease-causing_germline_mutation(s)_in	KIF7	Assessed	ENSG00000166813,30497,KIF7,611254,Q2M1P5,JBTS12
Brachydactyly-short_stature-retinitis_pigmentosa_syndrome	166035	Disease-causing_germline_mutation(s)_in	CWC27	Assessed	NY-CO-10,SDCCAG-10
Aspartylglucosaminuria	93	Disease-causing_germline_mutation(s)_in	AGA	Assessed	glycosylasparaginase,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,ASRG,AGA,613228,318,ENSG00000038002,P20933
Multiple_sulfatase_deficiency	585	Disease-causing_germline_mutation(s)_in	SUMF1	Assessed	SUMF1,FGE,ENSG00000144455,607939,UNQ3037,Q8NBK3,20376
Beta-mannosidosis	118	Disease-causing_germline_mutation(s)_in	MANBA	Assessed	6831,MANBA,ENSG00000109323,beta-mannosidase_A,609489,O00462
Pontocerebellar_hypoplasia_type_5	166068	Disease-causing_germline_mutation(s)_in	TSEN54	Assessed	SEN54,608755,27561,Q7Z6J9,TSEN54,ENSG00000182173,SEN54L
Pontocerebellar_hypoplasia_type_4	166063	Disease-causing_germline_mutation(s)_in	TSEN54	Assessed	SEN54,608755,27561,Q7Z6J9,TSEN54,ENSG00000182173,SEN54L
Von_Willebrand_disease_type_1	166078	Disease-causing_germline_mutation(s)_in	VWF	Assessed	613160,VWF,P04275,ENSG00000110799,12726
Pontocerebellar_hypoplasia_type_6	166073	Disease-causing_germline_mutation(s)_in	RARS2	Assessed	MGC14993,dJ382I10.6,21406,arginine_tRNA_ligase_2,_mitochondrial_(putative),Q5T160,PRO1992,DALRD2,MGC23778,ENSG00000146282,RARS2,611524
Farber_disease	333	Disease-causing_germline_mutation(s)_in	ASAH1	Assessed	Q13510,ACDase,735,613468,FLJ21558,ASAH1,acylsphingosine_deacylase,acid_ceramidase,AC,ENSG00000104763,PHP32
Von_Willebrand_disease_type_2A	166084	Disease-causing_germline_mutation(s)_in	VWF	Assessed	613160,VWF,P04275,ENSG00000110799,12726
Fucosidosis	349	Disease-causing_germline_mutation(s)_in	FUCA1	Assessed	4006,a-L-fucosidase_1,&#945,-L-fucosidase_1,Î±-L-fucosidase_1,612280,P04066,tissue_fucosidase,FUCA1,ENSG00000179163
Von_Willebrand_disease_type_2M	166090	Disease-causing_germline_mutation(s)_in	VWF	Assessed	613160,VWF,P04275,ENSG00000110799,12726
Glycogen_storage_disease_due_to_glycogen_debranching_enzyme_deficiency	366	Disease-causing_germline_mutation(s)_in	AGL	Assessed	glycogen_debranching_enzyme,ENSG00000162688,610860,AGL,321,P35573,glycogen_storage_disease_type_III
Von_Willebrand_disease_type_2B	166087	Disease-causing_germline_mutation(s)_in	VWF	Assessed	613160,VWF,P04275,ENSG00000110799,12726
Glycogen_storage_disease_due_to_muscle_glycogen_phosphorylase_deficiency	368	Disease-causing_germline_mutation(s)_in	PYGM	Assessed	PYGM,myophosphorylase,McArdle_syndrome,9726,P11217,glycogen_phosphorylase,_muscle_form,608455,ENSG00000068976,glycogen_storage_disease_type_V
Von_Willebrand_disease_type_2N	166093	Disease-causing_germline_mutation(s)_in	VWF	Assessed	613160,VWF,P04275,ENSG00000110799,12726
Von_Willebrand_disease_type_3	166096	Disease-causing_germline_mutation(s)_in	VWF	Assessed	613160,VWF,P04275,ENSG00000110799,12726
Glycogen_storage_disease_due_to_muscle_phosphofructokinase_deficiency	371	Disease-causing_germline_mutation(s)_in	PFKM	Assessed	PPP1R122,8877,P08237,protein_phosphatase_1,_regulatory_subunit_122,PFKM,ENSG00000152556,610681,PFK-1
Stickler_syndrome_type_3	166100	Disease-causing_germline_mutation(s)_in	COL11A2	Assessed	HKE5,COL11A2,120290,2187,ENSG00000204248,P13942
Glycogen_storage_disease_due_to_liver_glycogen_phosphorylase_deficiency	369	Disease-causing_germline_mutation(s)_in	PYGL	Assessed	glycogen_storage_disease_type_VI,613741,ENSG00000100504,P06737,PYGL,9725,glycogen_phosphorylase,_liver_form,Hers_disease
FASTKD2-related_infantile_mitochondrial_encephalomyopathy	166105	Disease-causing_germline_mutation(s)_(loss_of_function)_in	FASTKD2	Assessed	612322,FASTKD2,Q9NYY8,ENSG00000118246,29160
Paroxysmal_nocturnal_hemoglobinuria	447	Disease-causing_somatic_mutation(s)_in	PIGA	Assessed	GPI3,8957,PIGA,paroxysmal_nocturnal_hemoglobinuria,P37287,311770,phosphatidylinositol_N-acetylglucosaminyltransferase,ENSG00000165195
Intellectual_disability,_Birk-Barel_type	166108	Disease-causing_germline_mutation(s)_in	KCNK9	Assessed	6283,TASK3,ENSG00000169427,605874,KCNK9,520,K2p9.1,TASK-3,Q9NPC2
Isolated_osteopoikilosis	166119	Disease-causing_germline_mutation(s)_(loss_of_function)_in	LEMD3	Assessed	ENSG00000174106,inner_nuclear_membrane_protein_Man1,MAN1,LEMD3,607844,28887,Q9Y2U8
Dentinogenesis_imperfecta_type_2	166260	Disease-causing_germline_mutation(s)_in	DSPP	Assessed	DMP3,Q9NZW4,125485,3054,DSPP,ENSG00000152591
Dentinogenesis_imperfecta_type_3	166265	Disease-causing_germline_mutation(s)_in	DSPP	Assessed	DMP3,Q9NZW4,125485,3054,DSPP,ENSG00000152591
Odontochondrodysplasia	166272	Disease-causing_germline_mutation(s)_in	TRIP11	Assessed	12305,CEV14,GMAP-210,ENSG00000100815,604505,Q15643,golgi-microtubule-associated-protein_of_210_kDa,GMAP210,Trip230,TRIP11
Mucolipidosis_type_II	576	Disease-causing_germline_mutation(s)_(loss_of_function)_in	GNPTAB	Assessed	607840,Q3T906,MGC4170,29670,GNPTAB,ENSG00000111670,KIAA1208
Sialidosis_type_1	812	Disease-causing_germline_mutation(s)_in	NEU1	Assessed	ENSG00000204386,Q99519,NEU1,608272,7758
